Date,Adj Close,Close,High,Low,Open,Volume
,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI
2024-01-02 00:00:00+00:00,37715.0390625,37715.0390625,37790.078125,37495.91015625,37566.21875,350280000
2024-01-03 00:00:00+00:00,37430.19140625,37430.19140625,37629.23046875,37401.8515625,37629.23046875,322010000
2024-01-04 00:00:00+00:00,37440.33984375,37440.33984375,37716.41015625,37425.28125,37425.28125,380220000
2024-01-05 00:00:00+00:00,37466.109375,37466.109375,37623.62109375,37323.8203125,37455.4609375,299480000
2024-01-08 00:00:00+00:00,37683.01171875,37683.01171875,37692.921875,37249.23828125,37327.37109375,362200000
2024-01-09 00:00:00+00:00,37525.16015625,37525.16015625,37552.37890625,37373.30078125,37523.55078125,289860000
2024-01-10 00:00:00+00:00,37695.73046875,37695.73046875,37740.76953125,37524.3984375,37552.91015625,279540000
2024-01-11 00:00:00+00:00,37711.01953125,37711.01953125,37801.8984375,37424.28125,37747.140625,299540000
2024-01-12 00:00:00+00:00,37592.98046875,37592.98046875,37825.26953125,37470.19140625,37818.05078125,279250000
2024-01-16 00:00:00+00:00,37361.12109375,37361.12109375,37543.1796875,37201.390625,37493.5390625,378280000
2024-01-17 00:00:00+00:00,37266.671875,37266.671875,37371.66015625,37132.890625,37281.859375,290880000
2024-01-18 00:00:00+00:00,37468.609375,37468.609375,37522.2890625,37122.94921875,37300.80859375,340620000
2024-01-19 00:00:00+00:00,37863.80078125,37863.80078125,37933.73046875,37451.7109375,37572.5,377650000
2024-01-22 00:00:00+00:00,38001.80859375,38001.80859375,38109.19921875,37911.609375,37919.55078125,339560000
2024-01-23 00:00:00+00:00,37905.44921875,37905.44921875,37980.73046875,37804.98828125,37959.7890625,334110000
2024-01-24 00:00:00+00:00,37806.390625,37806.390625,38064.21875,37795.7109375,37975.37109375,336090000
2024-01-25 00:00:00+00:00,38049.12890625,38049.12890625,38057.53125,37796.46875,37862.5703125,402970000
2024-01-26 00:00:00+00:00,38109.4296875,38109.4296875,38215.30859375,37997.76953125,38006.6796875,387000000
2024-01-29 00:00:00+00:00,38333.44921875,38333.44921875,38343.9296875,38061.171875,38115.828125,312480000
