Date,Close,High,Low,Open,SMA_20,SMA_50,SMA_200,StdDev_20,Upper,Lower,RSI,EMA_12,EMA_26,MACD,Signal,MACD_Histogram
2000-10-16,3290.280029296875,3339.85009765625,3262.3701171875,3315.47998046875,3538.0365234375,3787.46421875,3998.2446618652343,248.43808698075063,4034.912697399001,3041.160349475999,37.37758076812052,3373.256340895573,3549.284616388849,-176.02827549327594,-151.4713072386524,-24.55696825462354
2000-10-17,3213.9599609375,3348.610107421875,3173.679931640625,3335.39990234375,3505.452526855469,3774.4836181640626,3993.6587121582033,245.9327563652541,3997.318039585977,3013.5870141249607,34.870847757945015,3348.749205517408,3524.4457530220825,-175.69654750467453,-156.31635529185684,-19.38019221281769
2000-10-18,3171.56005859375,3257.81005859375,3026.110107421875,3106.949951171875,3469.1585327148437,3760.943818359375,3990.0080627441407,238.48871311667645,3946.1359589481967,2992.1811064814906,33.52565371507437,3321.4893367599225,3498.3060719533173,-176.81673519339483,-160.41643127216446,-16.400303921230375
2000-10-19,3418.60009765625,3423.449951171875,3314.889892578125,3330.25,3448.6450317382814,3752.2458203125,3987.7133630371095,223.06573450588579,3894.776500750053,3002.51356272651,46.48024512072987,3336.429453820896,3492.4019257090904,-155.97247188819438,-159.52763939537044,3.5551675071760656
2000-10-20,3483.139892578125,3535.110107421875,3401.8798828125,3402.9599609375,3432.6140258789064,3746.708818359375,3986.4934130859374,207.15510348910942,3846.9242328571254,3018.3038189006875,49.262176389434984,3359.000290552777,3491.7158491808705,-132.71555862809328,-154.16522324191502,21.44966461382174
2000-10-23,3468.68994140625,3523.68994140625,3432.43994140625,3483.3798828125,3418.9875244140626,3740.2932177734374,3984.4237622070314,194.3547641741972,3807.697052762457,3030.277996065668,48.65241466212247,3375.8756214533114,3490.0102263827503,-114.13460492943886,-146.1590995794198,32.02449464998094
2000-10-24,3419.7900390625,3526.7099609375,3401.050048828125,3495.449951171875,3405.522021484375,3731.6952197265623,3981.2743627929685,183.6924144223886,3772.906850329152,3038.1371926395977,46.55243418547584,3382.6316857008787,3484.8087310256947,-102.17704532481594,-137.36268872849902,35.18564340368309
2000-10-25,3229.570068359375,3376.330078125,3210.739990234375,3347.239990234375,3384.1855224609376,3719.2534228515624,3977.816263427734,177.71646640657417,3739.618455274086,3028.752589647789,39.423858193687806,3359.0837445714164,3465.902163420782,-106.81841884936557,-131.25383475267233,24.43541590330676
2000-10-26,3272.179931640625,3286.2900390625,3081.360107421875,3245.39990234375,3358.878515625,3707.4730224609375,3974.9270629882812,152.94891242250196,3664.776340470004,3052.980690779996,41.58183615423436,3345.713927197449,3451.5523684741033,-105.83844127665452,-126.17075605746878,20.332314780814258
2000-10-27,3278.360107421875,3362.260009765625,3231.6298828125,3320.68994140625,3339.155517578125,3694.222822265625,3971.532813720703,134.67661245416375,3608.5087424864523,3069.8022926697977,41.90510121368037,3335.35180107813,3438.7233120998644,-103.37151102173448,-121.61090705032193,18.23939602858745
2000-10-30,3191.39990234375,3279.719970703125,3149.239990234375,3243.8798828125,3320.280517578125,3679.4440185546873,3967.1684631347657,127.01884151623548,3574.318200610596,3066.242834545654,38.66310844490628,3313.2053551189947,3420.403059525337,-107.19770440634238,-118.72826652152602,11.530562115183642
2000-10-31,3369.6298828125,3379.080078125,3223.43994140625,3223.43994140625,3315.9705078125,3667.7736181640626,3963.3625622558593,123.59358029304066,3563.1576683985813,3068.7833472264183,47.60940633739511,3321.8860516872264,3416.642083472534,-94.75603178530764,-113.93381957428235,19.17778778897471
2000-11-01,3333.389892578125,3396.719970703125,3289.4599609375,3316.510009765625,3306.484997558594,3655.277216796875,3959.2730615234377,113.74795743328114,3533.980912425156,3078.989082692032,46.135898102624445,3323.6558733627494,3410.4752545173924,-86.819381154643,-108.51093189035448,21.691550735711488
2000-11-02,3429.02001953125,3433.159912109375,3370.02001953125,3387.280029296875,3304.3309936523438,3643.6374169921874,3955.470612792969,110.8168318389326,3525.964657330209,3082.6973299744786,50.49041915409977,3339.865742004057,3411.848940814715,-71.983198810658,-101.20538527441519,29.222186463757197
2000-11-03,3451.580078125,3468.590087890625,3401.77001953125,3447.320068359375,3308.8594970703125,3631.60341796875,3951.551513671875,115.02555077800433,3538.910598626321,3078.808395514304,51.48681280914477,3357.0525629457406,3414.791988022884,-57.73942507714355,-92.51219323496088,34.772768157817325
